provincia,anio_inicio,anio_fin,caso,actores,tipo_tierra,mecanismo,detalle,estado_judicial,fuente,lat,lon,categoria_visual,intensidad,grupo_tematico,lat_jitter,lon_jitter,grupo_coord_id,orden_jitter,cantidad_en_grupo
Entre Ríos,1875,1875,Venta y titulación de campos de pastoreo,"Provincia, poseedores legales",Campos de pastoreo,Titulación / venta,Se unificó el título de propiedad para campos de pastoreo y posesiones legales previas,Marco legal,Estudio histórico,-32.0632,-59.201,marco_legal,2,marco_legal,-32.0632,-59.196826248430376,Entre Ríos|-32.0632|-59.201,3,9
Entre Ríos,1883,1883,Venta en remate público,"Provincia, poseedores y arrendatarios",Tierra fiscal,Remate y compra preferencial,"La tierra fiscal solo podía venderse en remate y al mejor postor, con ventajas para algunos poseedores",Marco legal,Estudio histórico,-32.0632,-59.201,marco_legal,2,marco_legal,-32.067429798840365,-59.200119928998596,Entre Ríos|-32.0632|-59.201,4,9
Entre Ríos,1900,1999,Alianza de élites y desplazamiento de pueblos,"Comerciantes, militares, banqueros, políticos",Tierras rurales,Registro y apropiación,"Red para desplazar pueblos y registrar tierras, clave para el poder terrateniente provincial",Proceso histórico,Divulgación histórica,-32.0632,-59.201,concentracion_terrateniente,4,concentracion_terrateniente,-32.06147177209288,-59.206602919358524,Entre Ríos|-32.0632|-59.201,5,9
Entre Ríos,1900,1999,Formación y consolidación de latifundios,Élites agrarias y políticas,Grandes extensiones rurales,Concentración de propiedad,La estructura de la provincia favoreció la concentración de tierra a largo plazo,Proceso estructural,Estudio histórico,-32.0632,-59.201,concentracion_terrateniente,4,concentracion_terrateniente,-32.05946479307388,-59.195747327033715,Entre Ríos|-32.0632|-59.201,6,9
Entre Ríos,1900,1999,Terratenencia histórica del clan Etchevehere,Familia Etchevehere,Estancias rurales,"Herencia, propiedad y control económico",Apellido integrado a una larga historia de poder agrario en la provincia,Mixto / histórico,Prensa e historia familiar,-32.0632,-59.201,concentracion_terrateniente,4,concentracion_terrateniente,-32.06544669627926,-59.20828379516608,Entre Ríos|-32.0632|-59.201,7,9
Entre Ríos,2020,2020,Causa Etchevehere por usurpación y daño,"Luis Etchevehere, Juan Diego Etchevehere",Estancia privada,Ocupación / litigio,La justicia de Paraná falló en primera instancia contra integrantes del clan por usurpación y daño,Condena en primera instancia,Prensa judicial,-32.0632,-59.201,condena,4,disputa_judicial,-32.056854761319066,-59.20532281412568,Entre Ríos|-32.0632|-59.201,8,9
Entre Ríos,2020,2020,Conflicto Etchevehere / Proyecto Artigas,"Familia Etchevehere, Dolores Etchevehere, militantes del Proyecto Artigas",Estancia privada,Disputa familiar y política,Conflicto por herencia y control territorial del agro entrerriano,Judicial en conflicto / disputa civil-penal,Prensa y cobertura judicial,-32.0632,-59.201,disputa_judicial,4,disputa_judicial,-32.05523802571226,-59.19934339576206,Entre Ríos|-32.0632|-59.201,9,9
Formosa,1870,1950,Política de tierras fiscales,"Estado nacional, colonos",Tierra fiscal,Distribución / colonización,Proceso comparable al chaqueño para ampliar el mapa del noreste,Medio,Estudio de política de tierras,-24.895,-59.932,tierras_fiscales,3,tierras_fiscales,-24.895,-59.932,Formosa|-24.895|-59.932,1,1
Mendoza,2023,2023,Entrega de tierras a mapuches,"INAI, empresa Sominar",Grandes extensiones privadas,Medida cautelar / suspensión,Fallo que frenó la transferencia de tierras por cautelar de la empresa propietaria,Medio,Infobae,-32.8895,-68.8458,disputa_judicial,3,disputa_judicial,-32.8895,-68.8458,Mendoza|-32.8895|-68.8458,1,1
Neuquén,1900,1999,Ocupación y regularización patagónica,"Pobladores, inspectores, administración territorial",Tierras públicas / ocupadas,Ocupación / regularización,Asentamiento de pobladores y mediación estatal en el norte patagónico,Alto,Estudio histórico regional,-38.9486,-68.0591,tierras_fiscales,3,tierras_fiscales,-38.9486,-68.0591,Neuquén|-38.9486|-68.0591,1,1
Patagonia,1900,1999,Concentración de grandes terratenientes,"Familias empresarias, grupos económicos, actores políticos",Tierras rurales privadas,Compra / acumulación,Bloque regional para mapear concentración de tierras y vínculos de poder,Alto,Divulgación periodística,-42.0,-68.0,concentracion_terrateniente,4,concentracion_terrateniente,-42.0,-67.99728020693351,Patagonia|-42.0|-68.0,1,2
Patagonia,1991,1997,Gran concentración de tierras,Luciano Benetton y actores locales,Tierras rurales privadas,Compra / acumulación,Acumulación masiva de hectáreas en Patagonia,Alto,Nota histórica divulgativa,-42.0,-68.0,concentracion_terrateniente,5,concentracion_terrateniente,-42.0,-68.01087917226594,Patagonia|-42.0|-68.0,2,2
Río Negro,1900,1999,Ocupación y frontera agraria,"Pobladores, Estado territorial",Tierras públicas,Ocupación / regularización,Expansión estatal y posterior concentración en la región,Alto,Estudio histórico regional,-40.8135,-62.9967,tierras_fiscales,3,tierras_fiscales,-40.8135,-62.9967,Río Negro|-40.8135|-62.9967,1,1
Santa Fe,1890,1900,Escándalos de prensa sobre corrupción,"Élites políticas provinciales, actores económicos",Bienes públicos / redes políticas,Maniobras financieras y políticas,Antecedente útil para ver cómo la prensa retrata escándalos de poder y territorio,Marco histórico,Artículo académico sobre prensa y corrupción,-30.7069,-60.9503,marco_legal,2,marco_legal,-30.7069,-60.9503,Santa Fe|-30.7069|-60.9503,1,1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2014,2021,Letras de Tesorería,"Exministros, comerciante, funcionarios",Bienes públicos / fondos estatales,Condena y revisión,El STJ anuló condenas previas por falta de certeza probatoria suficiente,Absolución,La Voz,-54.8019,-68.303,absolucion,4,disputa_judicial,-54.8019,-68.303,"Tierra del Fuego, Antártida e Islas del Atlántico Sur|-54.8019|-68.303",1,1
